                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.44,                0.85643,                 1.2991,                0.84909,                0.82966,                0.87584,                0.47451,                 1.5559,                0.77909,                 1.3992,             0.00055391,             0.00055391,             0.00055391
                      2,                 1.4185,                0.84629,                 1.2833,                0.79086,                0.83468,                0.86229,                0.45159,                 1.6213,                0.82649,                 1.4406,              0.0010547,              0.0010547,              0.0010547
                      3,                 1.4595,                0.86801,                 1.3056,                0.83552,                0.81774,                0.86645,                0.45791,                 1.5866,                0.82853,                 1.4124,              0.0015004,              0.0015004,              0.0015004
                      4,                  1.465,                0.88404,                 1.3136,                0.84442,                0.80423,                0.85937,                0.45389,                 1.6257,                  0.848,                 1.4224,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.4744,                0.88426,                 1.3223,                0.80791,                0.81984,                0.86984,                0.46686,                 1.5751,                0.81364,                 1.4035,              0.0013369,              0.0013369,              0.0013369
                      6,                  1.456,                0.87205,                 1.3079,                0.81997,                 0.8402,                0.86737,                0.46326,                 1.5711,                0.81297,                 1.4037,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.4372,                 0.8587,                 1.2939,                 0.8345,                0.83437,                0.87137,                0.46697,                 1.5572,                0.82587,                  1.395,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.4154,                0.85602,                 1.2961,                0.82671,                0.84036,                0.88919,                0.47436,                 1.5625,                 0.7827,                 1.3995,              0.0010894,              0.0010894,              0.0010894
                      9,                  1.419,                0.84527,                  1.288,                0.81846,                0.84949,                0.88223,                0.47151,                 1.5623,                0.78915,                 1.3943,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.3946,                0.81983,                 1.2619,                0.83635,                0.83205,                0.88824,                0.48051,                 1.5584,                0.79579,                 1.3915,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.3563,                0.72107,                 1.2696,                0.83808,                0.83575,                0.88496,                0.46422,                 1.5842,                0.81551,                 1.4097,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.3321,                0.70483,                 1.2618,                0.84421,                0.84571,                  0.888,                0.47384,                 1.5522,                0.80208,                 1.4024,             0.00075932,             0.00075932,             0.00075932
                     13,                  1.305,                0.68749,                 1.2435,                0.81673,                0.85447,                0.88529,                0.47603,                 1.5489,                0.79455,                 1.4056,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.2809,                0.67463,                 1.2237,                0.82762,                0.85161,                0.88938,                0.48428,                 1.5553,                 0.7769,                 1.3993,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.2726,                0.66845,                  1.212,                0.84894,                 0.8308,                0.88597,                0.48466,                 1.5438,                0.80724,                 1.4044,             0.00051177,             0.00051177,             0.00051177
                     16,                 1.2434,                0.64855,                 1.1912,                0.84797,                0.83373,                 0.8824,                0.48908,                 1.5267,                  0.784,                 1.4043,             0.00042925,             0.00042925,             0.00042925
                     17,                 1.2254,                0.63714,                 1.1906,                0.84968,                0.83056,                0.88287,                 0.4861,                 1.5364,                0.77304,                 1.4113,             0.00034674,             0.00034674,             0.00034674
                     18,                 1.2172,                0.63069,                 1.1825,                0.84119,                0.85084,                0.89181,                0.48984,                 1.5226,                 0.7626,                 1.4032,             0.00026422,             0.00026422,             0.00026422
                     19,                  1.193,                 0.6227,                 1.1749,                0.85114,                0.84082,                0.88899,                0.48827,                 1.5174,                0.76075,                 1.4028,              0.0001817,              0.0001817,              0.0001817
                     20,                  1.182,                0.61667,                  1.161,                0.86035,                0.83606,                0.89016,                0.49264,                 1.5181,                0.75194,                 1.4044,             9.9187e-05,             9.9187e-05,             9.9187e-05
