                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3595,                 0.7189,                 1.2639,                0.83364,                0.81813,                0.87764,                0.47082,                 1.5606,                0.78581,                  1.384,             0.00055356,             0.00055356,             0.00055356
                      2,                 1.3937,                   0.75,                 1.2935,                0.82208,                0.81323,                0.86249,                0.46028,                 1.5707,                  0.804,                 1.3915,             0.00099941,             0.00099941,             0.00099941
                      3,                  1.409,                0.77302,                 1.3121,                0.82258,                0.81736,                0.86507,                0.45764,                 1.5694,                0.82898,                 1.3997,              0.0013352,              0.0013352,              0.0013352
                      4,                 1.4272,                0.77001,                  1.317,                0.82192,                0.81014,                0.86664,                0.46454,                 1.5741,                0.80783,                 1.3991,              0.0011719,              0.0011719,              0.0011719
                      5,                 1.4061,                0.75901,                  1.305,                 0.8171,                0.84008,                0.86868,                 0.4669,                 1.5563,                0.80812,                 1.3818,              0.0010069,              0.0010069,              0.0010069
                      6,                  1.375,                0.73874,                 1.2795,                0.80558,                0.85326,                0.87239,                 0.4653,                 1.5776,                0.81454,                 1.3925,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.3628,                0.71643,                 1.2773,                0.84541,                0.84045,                0.88377,                0.47446,                 1.5696,                0.78824,                 1.3853,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.3149,                0.69347,                 1.2427,                0.83863,                0.83882,                0.88277,                0.47777,                 1.5444,                0.77599,                 1.3938,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.3046,                0.68839,                 1.2354,                0.84303,                0.83857,                0.88479,                0.48179,                 1.5501,                0.76543,                 1.3964,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.2665,                0.66229,                 1.2157,                0.85793,                0.83267,                 0.8901,                0.48686,                 1.5443,                0.75635,                 1.3905,              0.0001817,              0.0001817,              0.0001817
