                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0835,                 5.5241,                 1.7895,                0.52249,                0.27984,                0.21455,                0.10216,                 1.8055,                 2.9991,                 1.4985,              3.852e-05,              3.852e-05,              3.852e-05
                      2,                 1.9947,                 3.6432,                  1.675,                 0.5796,                0.49135,                0.52346,                0.24516,                 1.7597,                 1.6797,                 1.5206,             6.9545e-05,             6.9545e-05,             6.9545e-05
                      3,                  1.928,                 2.6538,                  1.663,                0.58787,                0.60275,                0.62291,                0.30339,                  1.716,                 1.4117,                 1.4803,             9.2915e-05,             9.2915e-05,             9.2915e-05
                      4,                 1.8644,                 2.3049,                 1.6201,                0.65056,                0.63059,                0.67517,                0.32081,                 1.6836,                 1.3051,                 1.4515,             8.1548e-05,             8.1548e-05,             8.1548e-05
                      5,                 1.8079,                 2.1197,                 1.5722,                0.70194,                0.63209,                0.69743,                0.34479,                 1.6564,                 1.2576,                 1.4235,             7.0064e-05,             7.0064e-05,             7.0064e-05
                      6,                 1.7884,                 1.9792,                 1.5477,                0.70381,                0.64756,                0.71982,                0.36368,                 1.6246,                 1.1976,                 1.4087,              5.858e-05,              5.858e-05,              5.858e-05
                      7,                 1.7597,                 1.8917,                 1.5332,                0.70778,                0.67027,                0.73406,                0.36885,                 1.6163,                  1.178,                 1.3867,             4.7096e-05,             4.7096e-05,             4.7096e-05
                      8,                 1.7469,                 1.8298,                 1.5119,                 0.7568,                0.63764,                0.73039,                0.37313,                 1.6039,                 1.1459,                 1.3838,             3.5612e-05,             3.5612e-05,             3.5612e-05
                      9,                 1.7366,                 1.8071,                 1.4979,                0.72678,                0.66972,                0.74288,                0.37962,                 1.5939,                 1.1251,                 1.3731,             2.4128e-05,             2.4128e-05,             2.4128e-05
                     10,                 1.6949,                 1.7525,                 1.4831,                0.71455,                 0.6957,                0.74307,                 0.3827,                 1.5813,                 1.1219,                 1.3637,             1.2644e-05,             1.2644e-05,             1.2644e-05
