                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4124,                 3.7671,                 1.8961,                0.00825,                0.97917,                0.18185,                0.06037,                 1.8869,                  3.472,                 1.4022,                0.00014,                0.00014,                0.00014
                      2,                 1.9036,                 3.6589,                 1.4857,                0.00754,                0.89583,                0.07548,                0.01735,                 2.3804,                 3.5889,                  1.849,             0.00029703,             0.00029703,             0.00029703
                      3,                 1.9556,                 2.6663,                  1.473,                0.00772,                0.91667,                0.37698,                0.16816,                 1.7833,                  3.315,                 1.4209,             0.00045089,             0.00045089,             0.00045089
                      4,                 1.9671,                 2.2865,                 1.4471,                0.00807,                0.95833,                0.36608,                0.18195,                 1.7699,                 3.2195,                 1.3359,             0.00060159,             0.00060159,             0.00060159
                      5,                 1.9404,                 2.1738,                 1.4503,                      1,                0.07618,                0.26213,                0.10464,                  2.016,                 3.3326,                 1.4602,             0.00074911,             0.00074911,             0.00074911
                      6,                 1.8805,                 1.9711,                  1.392,                0.25374,                    0.5,                0.35873,                 0.1385,                 1.8998,                 3.2751,                 1.4978,             0.00089347,             0.00089347,             0.00089347
                      7,                 1.8649,                 1.9464,                 1.3681,                0.72543,                 0.1875,                0.40693,                0.14642,                 2.0472,                 3.1114,                  1.599,              0.0010347,              0.0010347,              0.0010347
                      8,                 1.7518,                 1.7767,                 1.3739,                0.70027,                0.34092,                0.48422,                0.18366,                 1.9954,                 2.8918,                  1.636,              0.0011727,              0.0011727,              0.0011727
                      9,                  1.773,                 1.8067,                 1.3663,                0.87938,                 0.1524,                0.42012,                0.17582,                 1.9346,                 3.0696,                 1.6071,              0.0013075,              0.0013075,              0.0013075
                     10,                 1.7428,                 1.8273,                 1.3374,                0.71013,                0.40849,                 0.5674,                 0.2108,                 2.0303,                 2.7064,                 1.6984,              0.0014392,              0.0014392,              0.0014392
                     11,                  1.791,                 1.7586,                 1.3885,                0.69084,                0.41667,                0.57042,                0.24804,                  2.016,                 2.5739,                 1.6677,              0.0015677,              0.0015677,              0.0015677
                     12,                 1.6455,                 1.6224,                 1.3473,                 0.5873,                0.44483,                 0.4573,                0.18527,                 2.1198,                 2.5986,                 1.7722,              0.0016931,              0.0016931,              0.0016931
                     13,                 1.6864,                 1.5789,                 1.3568,                0.63381,                0.29167,                0.36562,                0.14144,                 2.1967,                 2.7898,                 1.8149,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.7035,                 1.7688,                 1.3492,                 0.5477,                0.39583,                0.37658,                 0.1387,                 2.2778,                 2.5136,                 1.8294,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.6366,                 1.5026,                 1.3296,                0.51478,                    0.5,                0.51968,                0.21275,                 2.0796,                  2.252,                 1.7192,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.6603,                 1.5859,                 1.3157,                0.57875,                 0.4375,                0.48233,                0.21769,                 2.0622,                 2.2115,                 1.7516,               0.001703,               0.001703,               0.001703
                     17,                 1.6594,                 1.3858,                 1.3017,                0.62379,                0.27083,                0.37235,                0.15222,                  2.083,                 2.4178,                 1.7576,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6049,                 1.3868,                 1.3054,                0.54747,                0.64583,                0.52941,                0.23384,                 2.0307,                 2.0113,                 1.7417,              0.0016634,              0.0016634,              0.0016634
                     19,                  1.625,                 1.4238,                 1.2947,                0.73607,                 0.4375,                0.49582,                0.21781,                 2.0835,                 2.3554,                 1.7199,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.6449,                 1.4125,                 1.3164,                0.69127,                 0.4375,                0.60349,                0.24908,                 2.0431,                 2.0528,                  1.751,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6232,                 1.2898,                 1.2954,                0.58707,                0.52083,                0.56923,                0.19393,                 2.1388,                 2.0718,                  1.835,               0.001604,               0.001604,               0.001604
                     22,                 1.6115,                 1.3515,                    1.3,                 0.5483,                0.41667,                0.44903,                 0.1817,                 2.0943,                 2.4341,                 1.8226,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.6007,                 1.3037,                  1.259,                0.80981,                0.35487,                 0.4258,                0.16323,                 2.1047,                 2.7283,                 1.8799,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.5568,                 1.2226,                 1.2964,                0.79354,                    0.5,                0.58268,                0.22947,                 2.1127,                 2.2254,                 1.7956,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5457,                 1.2008,                 1.2336,                0.89419,                0.35417,                0.47915,                0.22868,                 2.1151,                 2.6005,                  1.796,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5031,                 1.1824,                  1.255,                0.83035,                0.45833,                0.62485,                0.29819,                 1.9156,                 2.1542,                 1.6589,               0.001505,               0.001505,               0.001505
                     27,                 1.3862,                 1.0853,                 1.2207,                0.57189,                0.70833,                0.57644,                0.28309,                 1.9683,                 1.8051,                 1.6496,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.4359,                 1.0866,                 1.2065,                0.58936,                0.58333,                0.58648,                0.23023,                 1.9369,                 1.8416,                 1.6867,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4655,                 1.0995,                 1.2672,                 0.6359,                0.58333,                0.57607,                0.24927,                   2.07,                 1.8129,                 1.7476,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4833,                 1.1296,                 1.2348,                 0.7282,                0.61409,                0.68755,                0.30421,                 1.9479,                 1.9161,                 1.6729,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4474,                 1.0802,                 1.2344,                0.81325,                0.58333,                0.65007,                0.28255,                 2.0393,                  2.006,                 1.7656,               0.001406,               0.001406,               0.001406
                     32,                 1.4035,                 1.0342,                 1.2085,                0.74861,                0.60417,                0.71485,                 0.3115,                 2.0116,                 1.6987,                 1.6563,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.3656,                 1.0043,                 1.1802,                0.72042,                0.64583,                0.71523,                 0.2943,                 2.1168,                 1.5566,                  1.705,              0.0013664,              0.0013664,              0.0013664
