                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5507,                 3.7095,                 1.7726,                  0.007,                0.66667,                0.06975,                0.02341,                 2.3092,                  3.424,                 1.3135,                  8e-05,                  8e-05,                  8e-05
                      2,                 2.4326,                 3.5534,                 1.6536,                0.00804,                   0.75,                0.02621,                0.00914,                 2.2695,                 3.4274,                 1.3153,             0.00017287,             0.00017287,             0.00017287
                      3,                   2.29,                  3.107,                 1.4362,                0.00859,                0.83333,                0.02922,                0.00838,                 2.4634,                 3.3444,                 1.4541,             0.00025782,             0.00025782,             0.00025782
                      4,                 2.0665,                 2.4306,                 1.3366,                0.00839,                0.95833,                0.03423,                0.01017,                 2.3013,                 3.1946,                 1.3755,             0.00033486,             0.00033486,             0.00033486
                      5,                 2.0855,                 2.1734,                 1.3602,                0.00854,                      1,                0.08173,                0.04948,                 1.9246,                 2.8228,                 1.2635,             0.00040397,             0.00040397,             0.00040397
                      6,                 2.0377,                 1.8571,                 1.2855,                0.00835,                0.95833,                0.19645,                0.08016,                 1.9251,                 2.6425,                 1.2611,             0.00046516,             0.00046516,             0.00046516
                      7,                  2.005,                 2.1956,                 1.2807,                0.00738,                0.83333,                0.09039,                0.02631,                 2.1217,                 2.6856,                  1.374,             0.00051843,             0.00051843,             0.00051843
                      8,                 1.9499,                 1.6978,                 1.2476,                 0.2033,                  0.125,                0.15581,                0.06819,                 2.0071,                 2.5293,                 1.4683,             0.00056378,             0.00056378,             0.00056378
                      9,                 1.8856,                 1.6343,                 1.2167,                0.28428,                   0.25,                0.18218,                0.06503,                 2.3773,                 2.3231,                 1.7456,             0.00060122,             0.00060122,             0.00060122
                     10,                 1.8228,                 1.6286,                 1.2695,                0.29684,                0.41667,                0.24312,                0.08725,                 2.2539,                 2.1959,                 1.6745,             0.00063073,             0.00063073,             0.00063073
                     11,                 1.8301,                 1.8121,                 1.2225,                0.31217,                0.33333,                0.27277,                0.10223,                 2.1651,                 2.1755,                 1.6649,             0.00065232,             0.00065232,             0.00065232
                     12,                 1.8385,                 1.8385,                 1.2793,                0.44349,                  0.375,                0.43019,                0.17258,                 2.0631,                 2.0769,                 1.5553,             0.00066599,             0.00066599,             0.00066599
                     13,                 1.8261,                 1.5721,                 1.2351,                 0.7273,                0.33333,                0.51916,                0.18545,                 2.0473,                 1.9842,                 1.5136,             0.00067174,             0.00067174,             0.00067174
                     14,                  1.744,                  1.499,                 1.2047,                0.59219,                    0.5,                0.52292,                0.25351,                 2.0248,                 1.6832,                 1.5001,             0.00066958,             0.00066958,             0.00066958
                     15,                 1.7602,                 1.4095,                 1.2222,                0.57281,                0.66667,                0.54894,                0.26186,                 1.9074,                 1.7058,                 1.5541,             0.00065949,             0.00065949,             0.00065949
                     16,                 1.6319,                 1.4835,                 1.2883,                0.64215,                  0.625,                0.56501,                0.25409,                 1.9523,                 1.6896,                 1.6005,             0.00064148,             0.00064148,             0.00064148
                     17,                  1.719,                  1.525,                 1.3231,                0.69989,                0.54167,                0.53231,                 0.2647,                 1.9822,                 1.7659,                 1.4973,             0.00061555,             0.00061555,             0.00061555
                     18,                  1.674,                 2.2824,                   1.23,                0.76379,                0.53907,                0.56125,                0.27078,                 1.9594,                 1.8241,                 1.4285,              0.0005817,              0.0005817,              0.0005817
                     19,                 1.5504,                 1.4063,                 1.2259,                0.66879,                0.50505,                0.56907,                0.28455,                 1.9006,                 1.7623,                 1.4423,             0.00053994,             0.00053994,             0.00053994
                     20,                 1.6936,                 1.3725,                 1.2151,                0.68434,                0.45833,                0.48886,                0.25801,                 1.8429,                 1.6634,                 1.4537,             0.00049025,             0.00049025,             0.00049025
                     21,                 1.6109,                 1.3004,                 1.1864,                0.64932,                0.41667,                0.49376,                0.26573,                 1.8199,                 1.6962,                 1.4426,               0.000416,               0.000416,               0.000416
                     22,                 1.5358,                 1.2627,                 1.2336,                0.62543,                0.41749,                0.50232,                0.27591,                 1.8343,                 1.7144,                 1.4537,              0.0003368,              0.0003368,              0.0003368
                     23,                 1.5464,                 1.2321,                 1.1762,                0.71484,                0.41667,                0.53112,                0.28913,                 1.8276,                  1.682,                 1.4275,              0.0002576,              0.0002576,              0.0002576
                     24,                 1.4749,                 1.4602,                 1.1406,                0.69915,                    0.5,                0.57795,                0.30799,                 1.8293,                 1.5758,                 1.3994,              0.0001784,              0.0001784,              0.0001784
                     25,                 1.4563,                 1.1601,                 1.1328,                0.74196,                    0.5,                 0.5918,                0.31577,                 1.8427,                 1.5371,                 1.4076,               9.92e-05,               9.92e-05,               9.92e-05
