                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4124,                 3.7671,                 1.8961,                0.00825,                0.97917,                0.18185,                0.06037,                 1.8869,                  3.472,                 1.4022,                0.00014,                0.00014,                0.00014
                      2,                  1.904,                 3.6652,                 1.4875,                0.00772,                0.91667,                0.06403,                0.01643,                 2.4133,                 3.5614,                 1.8232,             0.00029901,             0.00029901,             0.00029901
                      3,                 1.9112,                 2.6437,                 1.4527,                0.00807,                0.95833,                0.46984,                0.16505,                 1.8765,                 3.3537,                 1.4771,             0.00045696,             0.00045696,             0.00045696
                      4,                 1.9767,                   2.28,                 1.4605,                0.00807,                0.95833,                0.38524,                0.14983,                 1.8592,                 3.2974,                 1.4291,             0.00061386,             0.00061386,             0.00061386
                      5,                 1.9276,                 2.2122,                 1.4629,                0.00969,                 0.5625,                0.28517,                0.09852,                 1.9947,                 3.3592,                 1.5334,              0.0007697,              0.0007697,              0.0007697
                      6,                 1.8436,                 1.9731,                 1.3943,                0.00737,                  0.875,                0.34767,                0.13008,                  1.957,                  3.267,                 1.6249,             0.00092449,             0.00092449,             0.00092449
                      7,                 1.7896,                 2.0138,                 1.3987,                0.00737,                  0.875,                0.33659,                0.11007,                 2.0262,                 3.3863,                 1.6786,              0.0010782,              0.0010782,              0.0010782
                      8,                 1.7854,                 1.7983,                 1.4111,                0.67678,                0.20833,                0.29813,                0.12716,                 2.0197,                 3.1395,                 1.6916,              0.0012309,              0.0012309,              0.0012309
                      9,                 1.8147,                 1.8048,                 1.4094,                0.50382,                 0.0625,                 0.2041,                0.07809,                 2.1006,                 3.3922,                 1.7815,              0.0013825,              0.0013825,              0.0013825
                     10,                 1.7198,                 1.7043,                  1.338,                0.24883,                0.10417,                0.06169,                0.02106,                 2.3347,                 3.7834,                 2.4622,              0.0015331,              0.0015331,              0.0015331
                     11,                 1.7726,                  1.636,                 1.3661,                      1,                0.03531,                0.11394,                0.05588,                 2.2416,                 3.6665,                 2.1494,              0.0016826,              0.0016826,              0.0016826
                     12,                 1.7289,                 1.5303,                 1.3426,                      1,                0.13863,                0.31031,                 0.1363,                  2.136,                 3.1251,                 1.8637,               0.001831,               0.001831,               0.001831
                     13,                  1.732,                 1.5526,                 1.3622,                0.77972,                0.07488,                0.18888,                0.09339,                 2.1709,                 3.4413,                 1.9822,              0.0019208,              0.0019208,              0.0019208
                     14,                 1.7902,                 1.8169,                 1.4577,                0.55012,                0.39583,                0.43203,                0.18172,                 2.0326,                 2.4242,                 1.8266,              0.0019142,              0.0019142,              0.0019142
                     15,                 1.6088,                 1.5594,                 1.3742,                0.49235,                0.30325,                 0.3018,                 0.1221,                 2.0375,                 2.6157,                 1.8428,              0.0019076,              0.0019076,              0.0019076
                     16,                 1.7492,                 1.6742,                  1.427,                0.58556,                0.35417,                0.39417,                0.14108,                 2.1878,                 2.7222,                 2.1002,               0.001901,               0.001901,               0.001901
                     17,                 1.6715,                 1.4609,                 1.3902,                0.34687,                0.35417,                0.28679,                0.12569,                 2.0826,                 2.6591,                 2.0298,              0.0018944,              0.0018944,              0.0018944
                     18,                 1.6142,                 1.4284,                 1.3495,                0.34398,                0.47917,                0.28744,                0.08684,                 2.3523,                  2.714,                  2.109,              0.0018878,              0.0018878,              0.0018878
                     19,                 1.6046,                 1.4107,                 1.3005,                0.58279,                0.39583,                0.41788,                0.13018,                 2.2425,                 2.5343,                  1.889,              0.0018812,              0.0018812,              0.0018812
                     20,                 1.6049,                 1.3445,                  1.302,                0.53221,                 0.5625,                0.51491,                0.18814,                 2.0872,                 1.9633,                 1.7809,              0.0018746,              0.0018746,              0.0018746
                     21,                 1.5987,                 1.2238,                 1.3068,                  0.635,                0.50754,                0.58033,                0.20571,                 2.2622,                 2.1133,                  1.987,               0.001868,               0.001868,               0.001868
                     22,                  1.692,                 1.3889,                  1.354,                0.73508,                0.34705,                  0.442,                0.13867,                 2.3053,                 2.4066,                 2.0022,              0.0018614,              0.0018614,              0.0018614
